time,hb0,hbO20,hb1,hbO21,hb4,hbO24
24965, 485685.50, -144374.32, 434610.00, -102744.78, 237387.82, -1624.60
24973, 485937.84, -144501.34, 434831.62, -102840.19, 237425.73, -1625.12
24982, 486188.09, -144627.15, 435053.87, -102935.96, 237463.62, -1625.63
24990, 486438.34, -144752.95, 435276.09, -103031.72, 237501.53, -1626.15
24999, 486676.75, -144871.04, 435497.75, -103127.14, 237539.42, -1626.66
25008, 486915.15, -144989.14, 435717.75, -103221.44, 237577.32, -1627.18
25017, 487165.40, -145114.95, 435937.71, -103315.74, 237606.01, -1622.44
25025, 487415.65, -145240.76, 436157.12, -103409.68, 237643.90, -1622.95
25034, 487654.06, -145358.85, 436377.09, -103503.99, 237672.59, -1618.21
25043, 487904.31, -145484.67, 436597.09, -103598.28, 237710.50, -1618.73
25052, 488154.56, -145610.46, 436817.09, -103692.58, 237748.39, -1619.24
25061, 488390.84, -145727.34, 437037.09, -103786.88, 237786.29, -1619.76
25069, 488618.75, -145838.54, 437257.09, -103881.18, 237824.18, -1620.27
25078, 488857.15, -145956.64, 437479.31, -103976.95, 237862.09, -1620.79
25086, 489107.40, -146082.45, 437700.96, -104072.36, 237899.98, -1621.30
25096, 489346.46, -146201.87, 437923.18, -104168.14, 237937.89, -1621.81
25105, 489582.75, -146318.75, 438142.59, -104262.08, 237975.78, -1622.33
25113, 489819.03, -146435.62, 438364.21, -104357.50, 238013.68, -1622.84
25122, 490067.09, -146560.20, 438585.21, -104452.56, 238051.59, -1623.36
25131, 490303.37, -146677.07, 438803.93, -104546.15, 238089.48, -1623.87
25140, 490539.65, -146793.95, 439024.93, -104641.21, 238127.39, -1624.39
25149, 490775.93, -146910.81, 439245.90, -104736.28, 238156.07, -1619.65
25157, 491012.21, -147027.68, 439466.28, -104830.98, 238193.96, -1620.16
25166, 491248.50, -147144.56, 439686.65, -104925.69, 238231.87, -1620.68
25175, 491484.78, -147261.43, 439907.03, -105020.40, 238269.76, -1621.19
25184, 491721.06, -147378.31, 440127.40, -105115.11, 238307.67, -1621.71
25193, 491957.34, -147495.18, 440347.78, -105209.82, 238345.56, -1622.22
25201, 492205.43, -147619.76, 440568.15, -105304.53, 238383.46, -1622.74
25210, 492441.71, -147736.64, 440785.68, -105397.41, 238412.15, -1618.00
25219, 492678.00, -147853.51, 441006.06, -105492.12, 238450.04, -1618.51
25228, 492926.06, -147978.09, 441226.43, -105586.83, 238478.73, -1613.77
25236, 493160.15, -148093.70, 441446.81, -105681.53, 238516.64, -1614.29
25245, 493408.25, -148218.28, 441667.18, -105776.25, 238554.53, -1614.80
25253, 493642.34, -148333.89, 441885.03, -105869.52, 238592.43, -1615.32
25263, 493878.62, -148450.76, 442105.40, -105964.22, 238621.12, -1610.58
25271, 494114.90, -148567.64, 442327.03, -106059.64, 238649.81, -1605.83
25280, 494360.81, -148690.96, 442552.06, -106157.39, 238678.50, -1601.09
25289, 494597.09, -148807.84, 442773.06, -106252.46, 238707.18, -1596.35
25297, 494833.37, -148924.71, 442995.71, -106348.67, 238745.07, -1596.87
25307, 495081.43, -149049.29, 443218.37, -106444.89, 238782.98, -1597.38
25315, 495329.50, -149173.87, 443441.68, -106541.46, 238811.67, -1592.64
25324, 495533.43, -149272.26, 443663.93, -106637.22, 238849.56, -1593.16
25332, 495783.68, -149398.06, 443884.31, -106731.93, 238878.25, -1588.41
25341, 496031.75, -149522.64, 444105.31, -106827.00, 238916.15, -1588.93
25351, 496279.84, -149647.21, 444325.68, -106921.71, 238944.82, -1584.19
25359, 496516.12, -149764.09, 444546.06, -107016.42, 238973.51, -1579.45
25368, 496752.40, -149880.96, 444766.43, -107111.12, 239002.20, -1574.71
25376, 497011.68, -150013.04, 444989.09, -107207.34, 239038.92, -1575.21
25385, 497273.12, -150146.37, 445209.46, -107302.05, 239075.64, -1575.70
25394, 497519.03, -150269.70, 445429.84, -107396.76, 239112.35, -1576.20
25403, 497764.93, -150393.03, 445650.21, -107491.46, 239141.04, -1571.46
25412, 498010.81, -150516.35, 445871.18, -107586.53, 239177.76, -1571.96
25420, 498270.12, -150648.43, 446091.56, -107681.24, 239214.48, -1572.46
25430, 498516.00, -150771.76, 446311.93, -107775.95, 239251.18, -1572.96
25438, 498764.06, -150896.34, 446532.93, -107871.01, 239287.90, -1573.46
25447, 498976.90, -151000.78, 446755.78, -107967.13, 239324.62, -1573.96
25455, 499222.78, -151124.10, 446976.15, -108061.84, 239361.34, -1574.46
25464, 499468.68, -151247.43, 447197.15, -108156.90, 239398.06, -1574.95
25474, 499727.96, -151379.51, 447415.87, -108250.50, 239434.78, -1575.45
25482, 499973.87, -151502.84, 447636.87, -108345.56, 239471.50, -1575.95
25491, 500219.75, -151626.17, 447857.84, -108440.62, 239508.20, -1576.45
25499, 500476.81, -151756.96, 448078.84, -108535.68, 239544.92, -1576.95
25508, 500736.09, -151889.03, 448300.46, -108631.10, 239581.64, -1577.45
