time,hb0,hbO20,hb1,hbO21,hb4,hbO24
1185361, 17096646.00, -4692357.50, 15821830.00, -4387919.00, 9877479.00, -145117.26
1185371, 17096906.00, -4692482.50, 15821830.00, -4387919.00, 9877510.00, -145117.68
1185379, 17097170.00, -4692611.00, 15821830.00, -4387919.00, 9877540.00, -145118.10
1185388, 17097456.00, -4692752.50, 15821830.00, -4387919.00, 9877571.00, -145118.53
1185397, 17097734.00, -4692889.50, 15821830.00, -4387919.00, 9877586.00, -145110.17
1185406, 17098000.00, -4693018.00, 15821830.00, -4387919.00, 9877617.00, -145110.59
1185416, 17098270.00, -4693150.50, 15821830.00, -4387919.00, 9877647.00, -145111.01
1185425, 17098548.00, -4693287.50, 15821830.00, -4387919.00, 9877678.00, -145111.43
1185434, 17098814.00, -4693416.00, 15821830.00, -4387919.00, 9877708.00, -145111.85
1185443, 17099100.00, -4693558.00, 15821830.00, -4387919.00, 9877739.00, -145112.28
1185453, 17099372.00, -4693691.00, 15821830.00, -4387919.00, 9877769.00, -145112.70
1185462, 17099656.00, -4693833.00, 15821830.00, -4387919.00, 9877800.00, -145113.10
1185471, 17099916.00, -4693958.00, 15821830.00, -4387919.00, 9877830.00, -145113.53
1185480, 17100204.00, -4694100.50, 15821830.00, -4387919.00, 9877861.00, -145113.95
1185489, 17100470.00, -4694229.00, 15821830.00, -4387919.00, 9877891.00, -145114.37
1185499, 17100750.00, -4694367.50, 15821830.00, -4387919.00, 9877922.00, -145114.79
1185508, 17101030.00, -4694505.00, 15821830.00, -4387919.00, 9877952.00, -145115.21
1185517, 17101294.00, -4694633.50, 15821830.00, -4387919.00, 9877983.00, -145115.64
1185526, 17101560.00, -4694762.50, 15821830.00, -4387919.00, 9878013.00, -145116.04
1185536, 17101832.00, -4694895.50, 15821830.00, -4387919.00, 9878044.00, -145116.46
1185545, 17102112.00, -4695033.00, 15821830.00, -4387919.00, 9878074.00, -145116.89
1185554, 17102384.00, -4695166.00, 15821830.00, -4387919.00, 9878105.00, -145117.31
1185563, 17102644.00, -4695291.50, 15821830.00, -4387919.00, 9878135.00, -145117.73
1185572, 17102910.00, -4695421.00, 15821830.00, -4387919.00, 9878166.00, -145118.15
1185581, 17103176.00, -4695550.00, 15821830.00, -4387919.00, 9878196.00, -145118.57
1185590, 17103442.00, -4695679.50, 15821830.00, -4387919.00, 9878227.00, -145118.98
1185599, 17103720.00, -4695816.50, 15821830.00, -4387919.00, 9878257.00, -145119.40
1185608, 17104000.00, -4695954.50, 15821830.00, -4387919.00, 9878288.00, -145119.82
1185617, 17104288.00, -4696097.00, 15821830.00, -4387919.00, 9878318.00, -145120.25
1185627, 17104574.00, -4696239.50, 15821830.00, -4387919.00, 9878349.00, -145120.67
1185636, 17104840.00, -4696368.00, 15821830.00, -4387919.00, 9878380.00, -145121.09
1185645, 17105120.00, -4696505.50, 15821830.00, -4387919.00, 9878410.00, -145121.50
1185654, 17105394.00, -4696639.50, 15821830.00, -4387919.00, 9878441.00, -145121.92
1185664, 17105666.00, -4696772.50, 15821830.00, -4387919.00, 9878471.00, -145122.34
1185673, 17105944.00, -4696910.00, 15821830.00, -4387919.00, 9878502.00, -145122.76
1185682, 17106210.00, -4697039.00, 15821830.00, -4387919.00, 9878532.00, -145123.18
1185691, 17106500.00, -4697182.00, 15821830.00, -4387919.00, 9878563.00, -145123.60
1185700, 17106778.00, -4697320.50, 15821830.00, -4387919.00, 9878593.00, -145124.03
1185710, 17107036.00, -4697446.50, 15821830.00, -4387919.00, 9878624.00, -145124.43
1185719, 17107322.00, -4697589.00, 15821830.00, -4387919.00, 9878654.00, -145124.85
1185728, 17107596.00, -4697722.00, 15821830.00, -4387919.00, 9878685.00, -145125.28
1185737, 17107874.00, -4697859.50, 15821830.00, -4387919.00, 9878715.00, -145125.70
1185746, 17108134.00, -4697984.50, 15821830.00, -4387919.00, 9878746.00, -145126.12
1185756, 17108406.00, -4698117.50, 15821830.00, -4387919.00, 9878776.00, -145126.54
1185765, 17108686.00, -4698255.00, 15821830.00, -4387919.00, 9878807.00, -145126.96
1185774, 17108972.00, -4698397.00, 15821830.00, -4387919.00, 9878837.00, -145127.37
