time,hb0,hbO20,hb1,hbO21,hb4,hbO24
301149, 3389045.75, -719752.50, 6642618.50, -2536437.00, 2433479.25, -28267.61
301158, 3389145.50, -719753.81, 6642718.50, -2536438.25, 2433579.00, -28268.97
301167, 3389245.25, -719755.18, 6642818.50, -2536439.75, 2433679.00, -28270.32
301176, 3389345.00, -719756.50, 6642918.50, -2536441.00, 2433778.75, -28271.68
301186, 3389445.00, -719757.75, 6643019.00, -2536442.50, 2433878.50, -28273.03
301195, 3389544.25, -719759.00, 6643119.00, -2536443.75, 2433978.25, -28274.39
349504, 3968827.75, -775994.56, 7140189.00, -2543854.00, 2937518.00, -33652.80
349513, 3968954.25, -776066.75, 7140189.00, -2543854.00, 2937546.75, -33653.19
349521, 3969080.50, -776138.93, 7140189.00, -2543854.00, 2937575.50, -33653.58
349531, 3969206.75, -776211.06, 7140189.00, -2543854.00, 2937604.00, -33653.98
349540, 3969263.50, -776237.87, 7140189.00, -2543854.00, 2937615.00, -33644.25
349548, 3969390.00, -776310.06, 7140189.00, -2543854.00, 2937643.75, -33644.64
349557, 3969516.25, -776382.18, 7140189.00, -2543854.00, 2937672.50, -33645.03
349566, 3969642.75, -776454.37, 7140189.00, -2543854.00, 2937701.00, -33645.42
349575, 3969769.00, -776526.56, 7140189.00, -2543854.00, 2937729.75, -33645.81
349584, 3969895.25, -776598.75, 7140189.00, -2543854.00, 2937758.50, -33646.20
349593, 3970021.75, -776670.93, 7140189.00, -2543854.00, 2937769.50, -33636.47
349601, 3970148.00, -776743.06, 7140189.00, -2543854.00, 2937798.25, -33636.86
349611, 3970274.25, -776815.25, 7140189.00, -2543854.00, 2937826.75, -33637.25
349620, 3970400.75, -776887.43, 7140189.00, -2543854.00, 2937855.50, -33637.64
349628, 3970480.25, -776933.00, 7140189.00, -2543854.00, 2937884.25, -33638.03
349637, 3970606.75, -777005.18, 7140189.00, -2543854.00, 2937913.00, -33638.42
349645, 3970686.25, -777050.68, 7140189.00, -2543854.00, 2937941.50, -33638.81
349655, 3970812.75, -777122.87, 7140189.00, -2543854.00, 2937970.25, -33639.20
349664, 3970892.25, -777168.43, 7140189.00, -2543854.00, 2937999.00, -33639.59
349672, 3971018.75, -777240.62, 7140189.00, -2543854.00, 2938027.75, -33639.99
349681, 3971145.00, -777312.75, 7140189.00, -2543854.00, 2938056.25, -33640.38
349690, 3971271.25, -777384.93, 7140189.00, -2543854.00, 2938085.00, -33640.77
349699, 3971397.75, -777457.12, 7140189.00, -2543854.00, 2938113.75, -33641.16
349708, 3971454.50, -777483.87, 7140189.00, -2543854.00, 2938142.50, -33641.55
349717, 3971580.75, -777556.06, 7140189.00, -2543854.00, 2938171.00, -33641.94
349725, 3971707.25, -777628.25, 7140189.00, -2543854.00, 2938199.75, -33642.33
349734, 3971833.50, -777700.43, 7140189.00, -2543854.00, 2938228.50, -33642.72
349744, 3971890.25, -777727.18, 7140189.00, -2543854.00, 2938257.25, -33643.11
349752, 3972016.50, -777799.37, 7140189.00, -2543854.00, 2938285.75, -33643.50
349761, 3972143.00, -777871.56, 7140189.00, -2543854.00, 2938314.50, -33643.90
349770, 3972199.75, -777898.31, 7140189.00, -2543854.00, 2938343.25, -33644.29
349779, 3972326.00, -777970.50, 7140189.00, -2543854.00, 2938372.00, -33644.68
349788, 3972382.75, -777997.31, 7140189.00, -2543854.00, 2938400.50, -33645.07
349797, 3972462.50, -778042.81, 7140189.00, -2543854.00, 2938429.25, -33645.46
349805, 3972588.75, -778115.00, 7140189.00, -2543854.00, 2938458.00, -33645.85
349814, 3972715.25, -778187.18, 7140189.00, -2543854.00, 2938486.75, -33646.24
349824, 3972772.00, -778213.93, 7140189.00, -2543854.00, 2938515.25, -33646.63
349832, 3972898.25, -778286.12, 7140189.00, -2543854.00, 2938544.00, -33647.02
349841, 3972908.75, -778286.31, 7140189.00, -2543854.00, 2938572.75, -33647.41
349850, 3973035.00, -778358.43, 7140189.00, -2543854.00, 2938601.50, -33647.81
349858, 3973161.25, -778430.62, 7140189.00, -2543854.00, 2938630.00, -33648.20
349868, 3973287.75, -778502.81, 7140189.00, -2543854.00, 2938658.75, -33648.59
349877, 3973414.00, -778575.00, 7140189.00, -2543854.00, 2938687.50, -33648.98
349885, 3973540.25, -778647.12, 7140189.00, -2543854.00, 2938702.75, -33640.63
349894, 3973620.00, -778692.68, 7140189.00, -2543854.00, 2938731.50, -33641.02
349902, 3973746.25, -778764.87, 7140189.00, -2543854.00, 2938760.00, -33641.41
349912, 3973826.00, -778810.43, 7140189.00, -2543854.00, 2938771.00, -33631.67
349921, 3973882.75, -778837.18, 7140189.00, -2543854.00, 2938799.75, -33632.07
349929, 3973893.25, -778837.37, 7140189.00, -2543854.00, 2938828.50, -33632.46
349938, 3974019.50, -778909.50, 7140189.00, -2543854.00, 2938857.00, -33632.85
349947, 3974099.00, -778955.06, 7140189.00, -2543854.00, 2938885.75, -33633.24
349956, 3974225.50, -779027.25, 7140189.00, -2543854.00, 2938914.50, -33633.63
349965, 3974351.75, -779099.43, 7140189.00, -2543854.00, 2938943.25, -33634.02
349974, 3974431.50, -779145.00, 7140189.00, -2543854.00, 2938971.75, -33634.41
349982, 3974557.75, -779217.12, 7140189.00, -2543854.00, 2939000.50, -33634.80
349991, 3974614.50, -779243.93, 7140189.00, -2543854.00, 2939029.25, -33635.19
350001, 3974741.00, -779316.12, 7140189.00, -2543854.00, 2939058.00, -33635.58
350009, 3974867.25, -779388.25, 7140189.00, -2543854.00, 2939073.25, -33627.23
350018, 3974993.50, -779460.43, 7140189.00, -2543854.00, 2939101.75, -33627.62
350027, 3975073.25, -779506.00, 7140189.00, -2543854.00, 2939130.50, -33628.02
350035, 3975199.50, -779578.18, 7140189.00, -2543854.00, 2939159.25, -33628.41
350045, 3975279.25, -779623.68, 7140189.00, -2543854.00, 2939188.00, -33628.80
350054, 3975405.50, -779695.87, 7140189.00, -2543854.00, 2939216.50, -33629.19
350062, 3975485.25, -779741.43, 7140189.00, -2543854.00, 2939245.25, -33629.58
350071, 3975542.00, -779768.25, 7140189.00, -2543854.00, 2939260.50, -33621.23
350081, 3975668.25, -779840.37, 7140189.00, -2543854.00, 2939289.25, -33621.62
350089, 3975794.75, -779912.56, 7140189.00, -2543854.00, 2939318.00, -33622.01
350098, 3975921.00, -779984.75, 7140189.00, -2543854.00, 2939346.50, -33622.40
350107, 3975977.75, -780011.50, 7140189.00, -2543854.00, 2939375.25, -33622.79
350115, 3976034.50, -780038.31, 7140189.00, -2543854.00, 2939404.00, -33623.18
350125, 3976161.00, -780110.50, 7140189.00, -2543854.00, 2939432.75, -33623.57
350134, 3976287.25, -780182.62, 7140189.00, -2543854.00, 2939461.25, -33623.97
350142, 3976413.50, -780254.81, 7140189.00, -2543854.00, 2939490.00, -33624.36
350151, 3976540.00, -780327.00, 7140189.00, -2543854.00, 2939518.75, -33624.75
350159, 3976619.50, -780372.56, 7140189.00, -2543854.00, 2939547.50, -33625.14
350169, 3976746.00, -780444.68, 7140189.00, -2543854.00, 2939576.00, -33625.53
350178, 3976825.50, -780490.25, 7140189.00, -2543854.00, 2939604.75, -33625.92
350186, 3976952.00, -780562.43, 7140189.00, -2543854.00, 2939633.50, -33626.31
350195, 3977031.50, -780608.00, 7140189.00, -2543854.00, 2939662.25, -33626.70
350204, 3977088.25, -780634.75, 7140189.00, -2543854.00, 2939690.75, -33627.09
350213, 3977168.00, -780680.31, 7140189.00, -2543854.00, 2939719.50, -33627.48
350222, 3977224.75, -780707.06, 7140189.00, -2543854.00, 2939748.25, -33627.88
350231, 3977304.50, -780752.62, 7140189.00, -2543854.00, 2939777.00, -33628.27
350239, 3977384.00, -780798.18, 7140189.00, -2543854.00, 2939805.50, -33628.66
350248, 3977510.50, -780870.37, 7140189.00, -2543854.00, 2939834.25, -33629.05
350258, 3977567.25, -780897.12, 7140189.00, -2543854.00, 2939863.00, -33629.44
350266, 3977693.50, -780969.31, 7140189.00, -2543854.00, 2939891.75, -33629.83
350275, 3977819.75, -781041.50, 7140189.00, -2543854.00, 2939920.25, -33630.22
350284, 3977946.25, -781113.68, 7140189.00, -2543854.00, 2939949.00, -33630.61
350292, 3978072.50, -781185.81, 7140189.00, -2543854.00, 2939977.75, -33631.00
350302, 3978152.25, -781231.37, 7140189.00, -2543854.00, 2940006.50, -33631.39
350311, 3978231.75, -781276.93, 7140189.00, -2543854.00, 2940035.00, -33631.79
350319, 3978358.25, -781349.12, 7140189.00, -2543854.00, 2940063.75, -33632.18
350328, 3978437.75, -781394.62, 7140189.00, -2543854.00, 2940092.50, -33632.57
350338, 3978564.25, -781466.81, 7140189.00, -2543854.00, 2940121.25, -33632.96
350346, 3978643.75, -781512.37, 7140189.00, -2543854.00, 2940149.75, -33633.35
350355, 3978700.50, -781539.12, 7140189.00, -2543854.00, 2940178.50, -33633.74
350364, 3978827.00, -781611.31, 7140189.00, -2543854.00, 2940207.25, -33634.13
350372, 3978953.25, -781683.50, 7140189.00, -2543854.00, 2940236.00, -33634.52
350382, 3979079.50, -781755.68, 7140189.00, -2543854.00, 2940264.50, -33634.91
350391, 3979206.00, -781827.87, 7140189.00, -2543854.00, 2940293.25, -33635.30
350399, 3979332.25, -781900.00, 7140189.00, -2543854.00, 2940322.00, -33635.70
350408, 3979458.50, -781972.18, 7140189.00, -2543854.00, 2940350.75, -33636.09
350417, 3979585.00, -782044.37, 7140189.00, -2543854.00, 2940379.25, -33636.48
350426, 3979711.25, -782116.56, 7140189.00, -2543854.00, 2940394.50, -33628.13
350435, 3979721.75, -782116.68, 7140189.00, -2543854.00, 2940423.25, -33628.52
350444, 3979848.00, -782188.87, 7140189.00, -2543854.00, 2940452.00, -33628.91
350452, 3979974.25, -782261.06, 7140189.00, -2543854.00, 2940480.75, -33629.30
350461, 3980054.00, -782306.62, 7140189.00, -2543854.00, 2940509.25, -33629.69
350471, 3980180.25, -782378.75, 7140189.00, -2543854.00, 2940538.00, -33630.08
350479, 3980260.00, -782424.31, 7140189.00, -2543854.00, 2940566.75, -33630.47
350488, 3980316.75, -782451.12, 7140189.00, -2543854.00, 2940595.50, -33630.86
350497, 3980396.50, -782496.62, 7140189.00, -2543854.00, 2940624.00, -33631.25
350505, 3980522.75, -782568.81, 7140189.00, -2543854.00, 2940652.75, -33631.65
350515, 3980649.00, -782641.00, 7140189.00, -2543854.00, 2940681.50, -33632.04
350524, 3980728.75, -782686.56, 7140189.00, -2543854.00, 2940710.25, -33632.43
350532, 3980808.50, -782732.06, 7140189.00, -2543854.00, 2940738.75, -33632.82
350541, 3980934.75, -782804.25, 7140189.00, -2543854.00, 2940767.50, -33633.21
350551, 3981014.50, -782849.81, 7140189.00, -2543854.00, 2940796.25, -33633.60
350559, 3981140.75, -782922.00, 7140189.00, -2543854.00, 2940825.00, -33633.99
350568, 3981267.00, -782994.12, 7140189.00, -2543854.00, 2940853.50, -33634.38
350577, 3981393.50, -783066.31, 7140189.00, -2543854.00, 2940882.25, -33634.77
350585, 3981519.75, -783138.50, 7140189.00, -2543854.00, 2940911.00, -33635.16
350595, 3981530.25, -783138.68, 7140189.00, -2543854.00, 2940939.75, -33635.56
350604, 3981656.50, -783210.81, 7140189.00, -2543854.00, 2940968.25, -33635.95
350612, 3981736.25, -783256.37, 7140189.00, -2543854.00, 2940997.00, -33636.34
350621, 3981793.00, -783283.18, 7140189.00, -2543854.00, 2941025.75, -33636.73
350630, 3981872.50, -783328.68, 7140189.00, -2543854.00, 2941054.50, -33637.12
350639, 3981999.00, -783400.87, 7140189.00, -2543854.00, 2941083.00, -33637.51
350648, 3982078.50, -783446.43, 7140189.00, -2543854.00, 2941111.75, -33637.90
350657, 3982158.25, -783492.00, 7140189.00, -2543854.00, 2941140.50, -33638.29
350665, 3982215.00, -783518.75, 7140189.00, -2543854.00, 2941169.25, -33638.68
350674, 3982271.75, -783545.56, 7140189.00, -2543854.00, 2941197.75, -33639.07
350684, 3982398.00, -783617.68, 7140189.00, -2543854.00, 2941226.50, -33639.46
350692, 3982477.75, -783663.25, 7140189.00, -2543854.00, 2941255.25, -33639.86
350701, 3982557.25, -783708.81, 7140189.00, -2543854.00, 2941283.75, -33640.25
350709, 3982637.00, -783754.37, 7140189.00, -2543854.00, 2941312.50, -33640.64
350718, 3982763.25, -783826.50, 7140189.00, -2543854.00, 2941341.25, -33641.03
350728, 3982843.00, -783872.06, 7140189.00, -2543854.00, 2941370.00, -33641.42
350736, 3982969.25, -783944.25, 7140189.00, -2543854.00, 2941398.50, -33641.81
350745, 3983049.00, -783989.81, 7140189.00, -2543854.00, 2941427.25, -33642.20
350754, 3983128.75, -784035.31, 7140189.00, -2543854.00, 2941456.00, -33642.59
350763, 3983208.25, -784080.87, 7140189.00, -2543854.00, 2941484.75, -33642.98
350772, 3983334.75, -784153.06, 7140189.00, -2543854.00, 2941513.25, -33643.37
350780, 3983414.25, -784198.62, 7140189.00, -2543854.00, 2941542.00, -33643.77
350789, 3983540.75, -784270.81, 7140189.00, -2543854.00, 2941570.75, -33644.16
350798, 3983667.00, -784342.93, 7140189.00, -2543854.00, 2941599.50, -33644.55
350807, 3983793.25, -784415.12, 7140189.00, -2543854.00, 2941628.00, -33644.94
