time,hb0,hbO20,hb1,hbO21,hb4,hbO24
24966, 331873.28, -37206.57, 293717.09, -13505.08, 283568.28, -4758.85
24975, 331873.28, -37206.57, 293717.09, -13505.08, 283579.31, -4749.11
24983, 331873.28, -37206.57, 293717.09, -13505.08, 283590.34, -4739.38
24991, 331873.28, -37206.57, 293717.09, -13505.08, 283601.37, -4729.65
24999, 331873.28, -37206.57, 293717.09, -13505.08, 283612.37, -4719.92
25008, 331873.28, -37206.57, 293717.09, -13505.08, 283623.40, -4710.19
25016, 331873.28, -37206.57, 293717.09, -13505.08, 283634.43, -4700.46
25024, 331873.28, -37206.57, 293717.09, -13505.08, 283645.46, -4690.72
25032, 331873.28, -37206.57, 293717.09, -13505.08, 283674.18, -4691.11
25040, 331873.28, -37206.57, 293717.09, -13505.08, 283685.21, -4681.38
25050, 331873.28, -37206.57, 293717.09, -13505.08, 283696.25, -4671.65
25058, 331873.28, -37206.57, 293717.09, -13505.08, 283722.71, -4672.01
25066, 331873.28, -37206.57, 293717.09, -13505.08, 283749.18, -4672.37
25074, 331873.28, -37206.57, 293717.09, -13505.08, 283760.21, -4662.64
25082, 331873.28, -37206.57, 293717.09, -13505.08, 283771.25, -4652.91
25091, 331873.28, -37206.57, 293717.09, -13505.08, 283797.71, -4653.27
25099, 331873.28, -37206.57, 293717.09, -13505.08, 283826.46, -4653.66
25107, 331873.28, -37206.57, 293717.09, -13505.08, 283852.93, -4654.02
25115, 331873.28, -37206.57, 293717.09, -13505.08, 283881.68, -4654.41
25123, 331873.28, -37206.57, 293717.09, -13505.08, 283892.71, -4644.68
25133, 331873.28, -37206.57, 293717.09, -13505.08, 283921.43, -4645.07
25141, 331873.28, -37206.57, 293717.09, -13505.08, 283932.46, -4635.34
25149, 331873.28, -37206.57, 293717.09, -13505.08, 283961.21, -4635.73
25157, 331873.28, -37206.57, 293717.09, -13505.08, 283987.68, -4636.09
25165, 331873.28, -37206.57, 293717.09, -13505.08, 284016.43, -4636.48
25174, 331873.28, -37206.57, 293717.09, -13505.08, 284027.46, -4626.75
25182, 331873.28, -37206.57, 293717.09, -13505.08, 284056.21, -4627.14
25190, 331873.28, -37206.57, 293717.09, -13505.08, 284082.68, -4627.50
25198, 331873.28, -37206.57, 293717.09, -13505.08, 284111.43, -4627.89
25206, 331873.28, -37206.57, 293717.09, -13505.08, 284156.15, -4640.18
25216, 331873.28, -37206.57, 293717.09, -13505.08, 284184.90, -4640.57
25224, 331873.28, -37206.57, 293717.09, -13505.08, 284195.90, -4630.84
25232, 331873.28, -37206.57, 293717.09, -13505.08, 284224.65, -4631.23
25240, 331873.28, -37206.57, 293717.09, -13505.08, 284235.68, -4621.50
25248, 331873.28, -37206.57, 293717.09, -13505.08, 284264.43, -4621.89
25256, 331873.28, -37206.57, 293717.09, -13505.08, 284275.46, -4612.16
25265, 331873.28, -37206.57, 293717.09, -13505.08, 284304.18, -4612.55
25273, 331873.28, -37206.57, 293717.09, -13505.08, 284330.68, -4612.91
25281, 331873.28, -37206.57, 293717.09, -13505.08, 284359.40, -4613.30
25290, 331873.28, -37206.57, 293717.09, -13505.08, 284385.90, -4613.66
25298, 331873.28, -37206.57, 293717.09, -13505.08, 284414.62, -4614.05
25307, 331873.28, -37206.57, 293717.09, -13505.08, 284441.09, -4614.41
25315, 331873.28, -37206.57, 293717.09, -13505.08, 284469.84, -4614.80
25323, 331873.28, -37206.57, 293717.09, -13505.08, 284498.59, -4615.19
25331, 331873.28, -37206.57, 293717.09, -13505.08, 284527.34, -4615.58
25339, 331873.28, -37206.57, 293717.09, -13505.08, 284553.81, -4615.94
25348, 331873.28, -37206.57, 293717.09, -13505.08, 284582.56, -4616.33
25356, 331873.28, -37206.57, 293717.09, -13505.08, 284593.59, -4606.60
25365, 331873.28, -37206.57, 293717.09, -13505.08, 284622.31, -4606.99
25373, 331873.28, -37206.57, 293717.09, -13505.08, 284633.34, -4597.26
25381, 331873.28, -37206.57, 293717.09, -13505.08, 284662.09, -4597.65
25390, 331873.28, -37206.57, 293717.09, -13505.08, 284673.12, -4587.92
25398, 331873.28, -37206.57, 293717.09, -13505.08, 284701.87, -4588.31
25406, 331873.28, -37206.57, 293717.09, -13505.08, 284712.87, -4578.58
25414, 331873.28, -37206.57, 293717.09, -13505.08, 284741.62, -4578.97
25422, 331873.28, -37206.57, 293717.09, -13505.08, 284752.65, -4569.24
25431, 331873.28, -37206.57, 293717.09, -13505.08, 284781.40, -4569.63
25440, 331873.28, -37206.57, 293717.09, -13505.08, 284792.43, -4559.90
25448, 331873.28, -37206.57, 293717.09, -13505.08, 284821.15, -4560.29
25456, 331873.28, -37206.57, 293717.09, -13505.08, 284832.18, -4550.56
25464, 331873.28, -37206.57, 293717.09, -13505.08, 284860.93, -4550.95
25473, 331873.28, -37206.57, 293717.09, -13505.08, 284887.40, -4551.31
25481, 331873.28, -37206.57, 293717.09, -13505.08, 284916.15, -4551.70
25489, 331873.28, -37206.57, 293717.09, -13505.08, 284927.18, -4541.96
25497, 331873.28, -37206.57, 293717.09, -13505.08, 284955.90, -4542.36
25505, 331873.28, -37206.57, 293717.09, -13505.08, 284966.93, -4532.62
25515, 331873.28, -37206.57, 293717.09, -13505.08, 284977.96, -4522.89
25523, 331873.28, -37206.57, 293717.09, -13505.08, 284989.00, -4513.16
25531, 331873.28, -37206.57, 293717.09, -13505.08, 285017.75, -4513.55
25539, 331873.28, -37206.57, 293717.09, -13505.08, 285028.75, -4503.82
25547, 331873.28, -37206.57, 293717.09, -13505.08, 285057.50, -4504.21
25555, 331873.28, -37206.57, 293717.09, -13505.08, 285083.96, -4504.57
25564, 331873.28, -37206.57, 293717.09, -13505.08, 285112.71, -4504.96
25572, 331873.28, -37206.57, 293717.09, -13505.08, 285123.75, -4495.23
25581, 331873.28, -37206.57, 293717.09, -13505.08, 285152.50, -4495.62
25589, 331873.28, -37206.57, 293717.09, -13505.08, 285163.53, -4485.89
25597, 331873.28, -37206.57, 293717.09, -13505.08, 285174.53, -4476.16
25606, 331873.28, -37206.57, 293717.09, -13505.08, 285185.56, -4466.42
25614, 331873.28, -37206.57, 293717.09, -13505.08, 285214.31, -4466.82
25622, 331873.28, -37206.57, 293717.09, -13505.08, 285225.34, -4457.08
25631, 331873.28, -37206.57, 293717.09, -13505.08, 285254.06, -4457.47
25639, 331873.28, -37206.57, 293717.09, -13505.08, 285265.09, -4447.74
25648, 331873.28, -37206.57, 293717.09, -13505.08, 285293.84, -4448.13
25656, 331873.28, -37206.57, 293717.09, -13505.08, 285304.87, -4438.40
25664, 331873.28, -37206.57, 293717.09, -13505.08, 285333.62, -4438.79
25672, 331873.28, -37206.57, 293717.09, -13505.08, 285360.09, -4439.15
