time,hb0,hbO20,hb1,hbO21,hb4,hbO24
624793, 6739787.00, -1599663.25, 8665053.00, -2729305.00, 4705046.50, -34919.73
624802, 6740170.50, -1599873.00, 8665609.00, -2729622.75, 4705073.00, -34920.08
624811, 6740594.00, -1600109.37, 8666165.00, -2729940.50, 4705100.00, -34920.44
624820, 6740977.00, -1600319.25, 8666725.00, -2730260.50, 4705126.50, -34920.81
624829, 6741360.50, -1600529.00, 8667286.00, -2730580.75, 4705153.00, -34921.17
624838, 6741783.00, -1600764.50, 8667846.00, -2730901.00, 4705179.50, -34921.53
624847, 6742164.50, -1600973.37, 8668406.00, -2731220.50, 4705206.00, -34921.89
624857, 6742586.50, -1601208.75, 8668968.00, -2731541.50, 4705232.50, -34922.25
624866, 6742968.00, -1601417.75, 8669524.00, -2731859.25, 4705259.00, -34922.60
624875, 6743390.50, -1601653.12, 8670076.00, -2732174.75, 4705285.50, -34922.97
624884, 6743772.00, -1601862.00, 8670627.00, -2732489.00, 4705312.00, -34923.33
624892, 6744153.50, -1602070.87, 8671176.00, -2732802.75, 4705338.50, -34923.69
624902, 6744577.00, -1602307.25, 8671725.00, -2733116.50, 4705365.50, -34924.05
624911, 6744960.50, -1602517.12, 8672277.00, -2733431.50, 4705392.00, -34924.41
624920, 6745343.50, -1602726.87, 8672835.00, -2733750.50, 4705418.50, -34924.76
624929, 6745728.00, -1602937.62, 8673395.00, -2734070.25, 4705445.00, -34925.13
624939, 6746112.50, -1603148.37, 8673955.00, -2734390.25, 4705471.50, -34925.49
624948, 6746434.50, -1603320.75, 8674515.00, -2734709.75, 4705498.00, -34925.85
624957, 6746859.50, -1603558.00, 8675068.00, -2735025.75, 4705524.50, -34926.21
624966, 6747285.00, -1603795.37, 8675621.00, -2735341.50, 4705551.00, -34926.57
624974, 6747640.00, -1603986.37, 8676173.00, -2735657.00, 4705577.50, -34926.92
624984, 6748062.00, -1604221.75, 8676726.00, -2735973.00, 4705604.00, -34927.28
624993, 6748445.50, -1604431.62, 8677284.00, -2736291.50, 4705631.00, -34927.65
625002, 6748828.50, -1604641.37, 8677840.00, -2736609.25, 4705657.50, -34928.01
625011, 6749215.00, -1604853.00, 8678394.00, -2736925.75, 4705684.00, -34928.37
625020, 6749641.50, -1605091.25, 8678951.00, -2737243.75, 4705710.50, -34928.73
625030, 6750028.00, -1605302.87, 8679505.00, -2737560.00, 4705737.00, -34929.08
625038, 6750454.50, -1605541.12, 8680051.00, -2737872.25, 4705763.50, -34929.44
625047, 6750841.00, -1605752.75, 8680601.00, -2738186.00, 4705790.00, -34929.81
625056, 6751266.50, -1605990.00, 8680920.00, -2738349.50, 4705816.50, -34930.17
625065, 6751648.00, -1606198.87, 8681360.00, -2738592.00, 4705843.00, -34930.53
625075, 6752029.50, -1606407.75, 8681909.00, -2738905.25, 4705870.00, -34930.89
625084, 6752409.50, -1606615.75, 8682462.00, -2739221.25, 4705896.50, -34931.25
625093, 6752788.00, -1606822.87, 8683008.00, -2739532.75, 4705923.00, -34931.60
625102, 6753166.50, -1607029.87, 8683561.00, -2739848.75, 4705949.50, -34931.97
625112, 6753543.00, -1607236.00, 8684106.00, -2740160.25, 4705976.00, -34932.33
