time,hb0,hbO20,hb1,hbO21,hb4,hbO24
960363, 14370702.00, -4423137.00, 14313109.00, -4211846.50, 7681477.50, -117097.01
960372, 14370809.00, -4423149.00, 14313311.00, -4211932.00, 7681578.00, -117098.36
960381, 14370923.00, -4423164.50, 14313508.00, -4212015.00, 7681678.00, -117099.79
960392, 14371036.00, -4423180.50, 14313707.00, -4212098.50, 7681778.00, -117101.15
960401, 14371151.00, -4423197.50, 14313905.00, -4212181.50, 7681878.00, -117102.50
960410, 14371267.00, -4423215.00, 14314104.00, -4212265.50, 7681978.00, -117103.85
960419, 14371383.00, -4423233.50, 14314303.00, -4212349.00, 7682078.00, -117105.21
960430, 14371499.00, -4423252.50, 14314502.00, -4212433.00, 7682178.50, -117106.57
960439, 14371616.00, -4423272.00, 14314701.00, -4212517.00, 7682278.50, -117107.92
960448, 14371735.00, -4423292.00, 14314897.00, -4212599.50, 7682378.50, -117109.28
960457, 14371853.00, -4423312.50, 14315096.00, -4212683.50, 7682478.50, -117110.63
960467, 14371973.00, -4423333.50, 14315291.00, -4212764.00, 7682578.50, -117111.98
960477, 14372092.00, -4423355.50, 14315485.00, -4212844.50, 7682679.00, -117113.34
960486, 14372214.00, -4423379.00, 14315675.00, -4212923.00, 7682779.00, -117114.69
960495, 14372336.00, -4423403.00, 14315863.00, -4213000.00, 7682879.00, -117116.04
960505, 14372458.00, -4423427.00, 14316047.00, -4213073.50, 7682979.00, -117117.40
960515, 14372582.00, -4423452.00, 14316226.00, -4213143.50, 7683079.00, -117118.75
960524, 14372708.00, -4423479.00, 14316394.00, -4213206.50, 7683179.50, -117120.10
960533, 14372834.00, -4423507.00, 14316561.00, -4213268.00, 7683279.50, -117121.46
960543, 14372963.00, -4423536.00, 14316725.00, -4213328.00, 7683379.50, -117122.82
960552, 14373092.00, -4423565.50, 14316886.00, -4213386.00, 7683479.50, -117124.17
960562, 14373225.00, -4423599.00, 14317040.00, -4213438.00, 7683579.50, -117125.53
960571, 14373362.00, -4423635.00, 14317181.00, -4213482.00, 7683680.00, -117126.88
960581, 14373502.00, -4423674.00, 14317310.00, -4213514.50, 7683780.00, -117128.23
960590, 14373650.00, -4423718.50, 14317428.00, -4213538.00, 7683880.00, -117129.59
960600, 14373801.00, -4423766.00, 14317540.00, -4213555.50, 7683980.00, -117130.94
960609, 14373959.00, -4423818.00, 14317644.00, -4213566.00, 7684080.00, -117132.29
960618, 14374120.00, -4423873.50, 14317734.00, -4213565.00, 7684180.50, -117133.65
960628, 14374287.00, -4423933.00, 14317819.00, -4213557.50, 7684280.50, -117135.00
960637, 14374460.00, -4423997.00, 14317919.00, -4213559.00, 7684380.50, -117136.35
960647, 14374631.00, -4424059.50, 14318019.00, -4213560.00, 7684480.50, -117137.71
960656, 14374805.00, -4424124.00, 14318119.00, -4213561.50, 7684580.50, -117139.07
960665, 14374974.00, -4424186.00, 14318219.00, -4213562.50, 7684681.00, -117140.42
960675, 14375139.00, -4424245.00, 14318319.00, -4213564.00, 7684781.00, -117141.78
960685, 14375299.00, -4424300.50, 14318419.00, -4213565.00, 7684881.00, -117143.13
960694, 14375460.00, -4424356.50, 14318519.00, -4213566.50, 7684981.00, -117144.48
960703, 14375610.00, -4424405.00, 14318619.00, -4213567.50, 7685081.00, -117145.84
960712, 14375758.00, -4424451.50, 14318719.00, -4213568.50, 7685181.50, -117147.19
960721, 14375905.00, -4424497.50, 14318820.00, -4213570.00, 7685281.50, -117148.54
960732, 14376047.00, -4424539.50, 14318920.00, -4213571.00, 7685381.50, -117149.90
960741, 14376179.00, -4424574.00, 14319020.00, -4213572.50, 7685481.50, -117151.25
960750, 14376295.00, -4424599.00, 14319120.00, -4213573.50, 7685581.50, -117152.60
960759, 14376420.00, -4424627.50, 14319220.00, -4213575.00, 7685682.00, -117153.96
960769, 14376542.00, -4424654.00, 14319320.00, -4213576.00, 7685782.00, -117155.32
960779, 14376663.00, -4424679.50, 14319420.00, -4213577.50, 7685882.00, -117156.67
960788, 14376781.00, -4424703.50, 14319520.00, -4213578.50, 7685982.00, -117158.03
960797, 14376898.00, -4424726.00, 14319620.00, -4213579.50, 7686082.00, -117159.38
960806, 14377015.00, -4424748.00, 14319720.00, -4213581.00, 7686181.50, -117160.66
960817, 14377131.00, -4424769.00, 14319821.00, -4213582.00, 7686281.50, -117162.01
960826, 14377245.00, -4424788.00, 14319918.00, -4213582.50, 7686382.00, -117163.36
960835, 14377358.00, -4424806.00, 14320006.00, -4213576.50, 7686482.00, -117164.72
960844, 14377471.00, -4424823.00, 14320094.00, -4213571.00, 7686582.00, -117166.07
960854, 14377582.00, -4424839.00, 14320183.00, -4213566.00, 7686682.00, -117167.42
960864, 14377692.00, -4424853.50, 14320266.00, -4213557.50, 7686782.00, -117168.78
960873, 14377802.00, -4424867.00, 14320337.00, -4213542.00, 7686882.50, -117170.14
960882, 14377910.00, -4424880.00, 14320396.00, -4213519.50, 7686982.50, -117171.49
960891, 14378019.00, -4424891.50, 14320449.00, -4213495.50, 7687082.50, -117172.85
